impact_method_name;impact_cat_name;flow_name;flow_category_subcompart;CF_formula;uncert_type_name;uncert_param1;uncert_param2;uncert_param3;CF_per_unit_name;ef_UUID;IW_ef;Stoechiometric_ratio;IW_Sample_CF_Mean;IW_Sample_CF_Variance;IW_Sample_CF_Std dev;IW_Sample_CF_Min;IW_Sample_CF_Max;beta_param_min;beta_param_max;beta_param_alpha;beta_param_beta;CF_unit
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonia;high population density;1.846715481;triangle;0.000424631;1.846715481;1645.674497;kg;9990b51b-7023-4700-bca0-1a32ef921f74;NH3;1;1.846715481;45.17071068;6.72091591;0.000424631;1645.674497;0.000424631;1645.674497;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonia;low population density;1.846715481;triangle;0.000424631;1.846715481;1645.674497;kg;0f440cc0-0f74-446d-99d6-8ff0e97a2444;NH3;1;1.846715481;45.17071068;6.72091591;0.000424631;1645.674497;0.000424631;1645.674497;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonia;low population density, long-term;1.846715481;triangle;0.000424631;1.846715481;1645.674497;kg;2b50f643-216a-412b-a0e5-5946867aa2ed;NH3;1;1.846715481;45.17071068;6.72091591;0.000424631;1645.674497;0.000424631;1645.674497;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonia;lower stratosphere + upper troposphere;1.846715481;triangle;0.000424631;1.846715481;1645.674497;kg;8494ed3c-0416-4aa5-b100-51a2b2bcadbd;NH3;1;1.846715481;45.17071068;6.72091591;0.000424631;1645.674497;0.000424631;1645.674497;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonia;unspecified air;1.846715481;triangle;0.000424631;1.846715481;1645.674497;kg;87883a4e-1e3e-4c9d-90c0-f1bea36f8014;NH3;1;1.846715481;45.17071068;6.72091591;0.000424631;1645.674497;0.000424631;1645.674497;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonia, as N;low population density;2.246005314;triangle;0.000516443;2.246005314;2001.49601;kg;0e0f75b3-2de4-4fbd-aee5-e0406b593ea8;NH3;1.216216216;2.246005314;66.81569695;8.174086918;0.000516443;2001.49601;0.000516443;2001.49601;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium carbonate;high population density;0.652838878;triangle;0.000150113;0.652838878;581.7681736;kg;11f41c41-7733-49bc-b1b1-1f00fbade521;NH3;0.353513514;0.652838878;5.645065212;2.375934598;0.000150113;581.7681736;0.000150113;581.7681736;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium carbonate;low population density;0.652838878;triangle;0.000150113;0.652838878;581.7681736;kg;d40b90a8-c469-41ec-b5ea-f80386859a82;NH3;0.353513514;0.652838878;5.645065212;2.375934598;0.000150113;581.7681736;0.000150113;581.7681736;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium carbonate;low population density, long-term;0.652838878;triangle;0.000150113;0.652838878;581.7681736;kg;15c4a3e0-bd82-4acd-a8fd-58aba60dd9fc;NH3;0.353513514;0.652838878;5.645065212;2.375934598;0.000150113;581.7681736;0.000150113;581.7681736;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium carbonate;lower stratosphere + upper troposphere;0.652838878;triangle;0.000150113;0.652838878;581.7681736;kg;73ec59d7-a227-407f-963a-fd9c61b4d172;NH3;0.353513514;0.652838878;5.645065212;2.375934598;0.000150113;581.7681736;0.000150113;581.7681736;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium carbonate;unspecified air;0.652838878;triangle;0.000150113;0.652838878;581.7681736;kg;c36f35d1-e815-4c85-8686-1a2d21264a2c;NH3;0.353513514;0.652838878;5.645065212;2.375934598;0.000150113;581.7681736;0.000150113;581.7681736;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium nitrate;unspecified air;0.392095378;triangle;0;0.392095378;46.03801918;kg;e3edc996-b5bb-4465-b9e4-29eb368ab0e0;NOx;0.490613267;0.392121583;0.439687228;0.663089155;0.001180505;46.03801918;0.001180505;46.03801918;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium, ion;high population density;1.746893022;triangle;0.000401678;1.746893022;1556.719119;kg;887bfb8e-44de-4de0-b47d-bc49db8adec1;NH3;0.945945946;1.746893022;40.41937223;6.357623159;0.000401678;1556.719119;0.000401678;1556.719119;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium, ion;low population density;1.746893022;triangle;0.000401678;1.746893022;1556.719119;kg;e1d913d8-214c-4957-b3e5-36ccc50f3724;NH3;0.945945946;1.746893022;40.41937223;6.357623159;0.000401678;1556.719119;0.000401678;1556.719119;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium, ion;low population density, long-term;1.746893022;triangle;0.000401678;1.746893022;1556.719119;kg;615c56b4-3328-43b3-b1cd-feb6b6a5d99c;NH3;0.945945946;1.746893022;40.41937223;6.357623159;0.000401678;1556.719119;0.000401678;1556.719119;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium, ion;lower stratosphere + upper troposphere;1.746893022;triangle;0.000401678;1.746893022;1556.719119;kg;e1f2ab0a-6d4e-4705-9e8c-db67155d14f6;NH3;0.945945946;1.746893022;40.41937223;6.357623159;0.000401678;1556.719119;0.000401678;1556.719119;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Ammonium, ion;unspecified air;1.746893022;triangle;0.000401678;1.746893022;1556.719119;kg;08a91e70-3ddc-11dd-954d-0050c2490048;NH3;0.945945946;1.746893022;40.41937223;6.357623159;0.000401678;1556.719119;0.000401678;1556.719119;0.074258037;66.11494813;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrate;high population density;0.592144041;triangle;0;0.592144041;69.52680448;kg;15ca802b-f541-44aa-bd33-35560a053193;NOx;0.740926158;0.592183615;1.002801858;1.001399949;0.001782803;69.52680448;0.001782803;69.52680448;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrate;low population density;0.592144041;triangle;0;0.592144041;69.52680448;kg;cbd70647-6237-462a-9d01-d197a8b08506;NOx;0.740926158;0.592183615;1.002801858;1.001399949;0.001782803;69.52680448;0.001782803;69.52680448;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrate;low population density, long-term;0.592144041;triangle;0;0.592144041;69.52680448;kg;205617ae-ebc5-4245-8df6-8710d5d40615;NOx;0.740926158;0.592183615;1.002801858;1.001399949;0.001782803;69.52680448;0.001782803;69.52680448;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrate;lower stratosphere + upper troposphere;0.592144041;triangle;0;0.592144041;69.52680448;kg;0e9e6b81-0a68-4350-8368-566c083bd3e0;NOx;0.740926158;0.592183615;1.002801858;1.001399949;0.001782803;69.52680448;0.001782803;69.52680448;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrate;unspecified air;0.592144041;triangle;0;0.592144041;69.52680448;kg;5e7cf95c-9cc3-4479-89af-55377b3db99c;NOx;0.740926158;0.592183615;1.002801858;1.001399949;0.001782803;69.52680448;0.001782803;69.52680448;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrate compounds;low population density;0.592144041;triangle;0;0.592144041;69.52680448;kg;e8c30bb3-92cc-41c8-acf3-281095e570cc;NOx;0.740926158;0.592183615;1.002801858;1.001399949;0.001782803;69.52680448;0.001782803;69.52680448;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrate compounds;unspecified air;0.592144041;triangle;0;0.592144041;69.52680448;kg;65bff69f-3b58-457c-bb21-45ad200b04e2;NOx;0.740926158;0.592183615;1.002801858;1.001399949;0.001782803;69.52680448;0.001782803;69.52680448;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitric acid;high population density;0.584142094;triangle;0;0.584142094;68.58725307;kg;37d014cb-8c2d-4c98-ab5c-2d4550822c2f;NOx;0.730913642;0.584181134;0.975882232;0.987867517;0.001758711;68.58725307;0.001758711;68.58725307;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitric acid;low population density;0.584142094;triangle;0;0.584142094;68.58725307;kg;0d1d9119-44bf-4c8e-a878-cdc78fd888ae;NOx;0.730913642;0.584181134;0.975882232;0.987867517;0.001758711;68.58725307;0.001758711;68.58725307;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitric acid;low population density, long-term;0.584142094;triangle;0;0.584142094;68.58725307;kg;2e493ad7-ff7f-47b8-9966-1d67e0323386;NOx;0.730913642;0.584181134;0.975882232;0.987867517;0.001758711;68.58725307;0.001758711;68.58725307;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitric acid;lower stratosphere + upper troposphere;0.584142094;triangle;0;0.584142094;68.58725307;kg;1aa538b9-51eb-49fe-8904-de34e58945c7;NOx;0.730913642;0.584181134;0.975882232;0.987867517;0.001758711;68.58725307;0.001758711;68.58725307;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitric acid;unspecified air;0.584142094;triangle;0;0.584142094;68.58725307;kg;dc084330-5108-4d9c-a7ed-eb3345507f13;NOx;0.730913642;0.584181134;0.975882232;0.987867517;0.001758711;68.58725307;0.001758711;68.58725307;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrite;high population density;0.799194406;triangle;0;0.799194406;93.83769727;kg;9af58019-22ff-4278-8f48-8e94b49aae5c;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrite;low population density;0.799194406;triangle;0;0.799194406;93.83769727;kg;b7ba3697-434d-4f47-91a1-f5b924871d92;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrite;unspecified air;0.799194406;triangle;0;0.799194406;93.83769727;kg;f37a3611-f6a5-4141-8d16-6eac6a1e9a52;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen dioxide;high population density;0.799194406;triangle;0;0.799194406;93.83769727;kg;d9945575-a965-4bf3-9cd7-584263172abd;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen dioxide;low population density;0.799194406;triangle;0;0.799194406;93.83769727;kg;003697f1-54e9-409e-8179-23a95e99e4d7;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen dioxide;low population density, long-term;0.799194406;triangle;0;0.799194406;93.83769727;kg;9fb048e8-b1c4-4b1a-b536-5467d511f75a;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen dioxide;lower stratosphere + upper troposphere;0.799194406;triangle;0;0.799194406;93.83769727;kg;4490af97-53d7-4849-aa85-34b5a50e516b;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen dioxide;unspecified air;0.799194406;triangle;0;0.799194406;93.83769727;kg;0b7e10a8-6ca0-4a50-a39b-f2a019cb3610;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen monoxide;high population density;0.799194406;triangle;0;0.799194406;93.83769727;kg;ca31b010-acd3-4736-a76c-e4a900ae4809;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen monoxide;low population density;0.799194406;triangle;0;0.799194406;93.83769727;kg;fe02b51d-7a59-4015-ba12-d32da63ac7d9;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen monoxide;low population density, long-term;0.799194406;triangle;0;0.799194406;93.83769727;kg;b7e78e2a-dff8-49e8-b72c-c9157183860d;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen monoxide;lower stratosphere + upper troposphere;0.799194406;triangle;0;0.799194406;93.83769727;kg;9d0b18e8-484d-4d28-bca4-2db8023def45;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen monoxide;unspecified air;0.799194406;triangle;0;0.799194406;93.83769727;kg;08a91e70-3ddc-11dd-96ee-0050c2490048;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen oxides;high population density;0.799194406;triangle;0;0.799194406;93.83769727;kg;d068f3e2-b033-417b-a359-ca4f25da9731;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen oxides;low population density;0.799194406;triangle;0;0.799194406;93.83769727;kg;77357947-ccc5-438e-9996-95e65e1e1bce;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen oxides;low population density, long-term;0.799194406;triangle;0;0.799194406;93.83769727;kg;9115356e-a534-4329-9ec6-d9208720241b;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen oxides;lower stratosphere + upper troposphere;0.799194406;triangle;0;0.799194406;93.83769727;kg;4841a0fe-c250-4a39-94a1-1bc31426c0f1;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Nitrogen oxides;unspecified air;0.799194406;triangle;0;0.799194406;93.83769727;kg;c1b91234-6f24-417b-8309-46111d09c457;NOx;1;0.799247818;1.826691782;1.35155162;0.002406182;93.83769727;0.002406182;93.83769727;0.336155493;39.24918627;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Sulfate;high population density;1.591727031;triangle;0;1.591727031;146.2778145;kg;826677aa-8347-4494-85da-a26fe3e1e824;SO2;0.665271967;1.591727031;37.14018533;6.0942748;0.001710379;146.2778145;0.001710379;146.2778145;0.05646066;5.137727289;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Sulfate;low population density;1.591727031;triangle;0;1.591727031;146.2778145;kg;006aa3f7-59ba-450f-aa45-a2b2d1752647;SO2;0.665271967;1.591727031;37.14018533;6.0942748;0.001710379;146.2778145;0.001710379;146.2778145;0.05646066;5.137727289;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Sulfate;low population density, long-term;1.591727031;triangle;0;1.591727031;146.2778145;kg;a259eb99-e741-49e6-8b3f-8985c018be28;SO2;0.665271967;1.591727031;37.14018533;6.0942748;0.001710379;146.2778145;0.001710379;146.2778145;0.05646066;5.137727289;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Sulfate;lower stratosphere + upper troposphere;1.591727031;triangle;0;1.591727031;146.2778145;kg;d64c693d-aa5a-40de-a250-ed9d24b90542;SO2;0.665271967;1.591727031;37.14018533;6.0942748;0.001710379;146.2778145;0.001710379;146.2778145;0.05646066;5.137727289;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Sulfate;unspecified air;1.591727031;triangle;0;1.591727031;146.2778145;kg;9b00c244-fcce-4d38-922b-601a81f2ba34;SO2;0.665271967;1.591727031;37.14018533;6.0942748;0.001710379;146.2778145;0.001710379;146.2778145;0.05646066;5.137727289;PDF.m2.yr
IMPACTWorld+ - Endpoint - only with spatial variability;Freshwater acidification, GLO, with uncert;Sulfur dioxide;high population density;2.392595977;triangle;0;2.392595977;219.8767148;kg;8c52f40c-69b7-4538-8923-b371523c71f5;SO2;1;2.392595978;83.91616338;9.160576586;0.002570947;219.8767148;0.002570947;219.8767148;0.05646066;5.137727289;PDF.m2.yr
