CF unit;Elementary flow subcategory;Elementary flow name;Impact category;Impact method;Elementary flow UUID;Per elementary flow unit;CF value
PDF.m2.yr;unspecified air;Nitric acid;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;dc084330-5108-4d9c-a7ed-eb3345507f13;kg;4.793079292
PDF.m2.yr;unspecified air;Nitrate compounds;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;65bff69f-3b58-457c-bb21-45ad200b04e2;kg;4.863124292
PDF.m2.yr;low population density, long-term;Nitrate;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;205617ae-ebc5-4245-8df6-8710d5d40615;kg;4.863124292
PDF.m2.yr;unspecified air;Sulfur dioxide;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;fd7aa71c-508c-480d-81a6-8052aad92646;kg;14.25673321
PDF.m2.yr;lower stratosphere + upper troposphere;Nitric acid;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;1aa538b9-51eb-49fe-8904-de34e58945c7;kg;4.793079292
PDF.m2.yr;unspecified air;Nitrogen monoxide;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;08a91e70-3ddc-11dd-96ee-0050c2490048;kg;6.554210723
PDF.m2.yr;high population density;Nitrite;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;9af58019-22ff-4278-8f48-8e94b49aae5c;kg;6.554210723
PDF.m2.yr;low population density, long-term;Sulfate;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;a259eb99-e741-49e6-8b3f-8985c018be28;kg;9.471256326
PDF.m2.yr;unspecified air;Sulfuric acid;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;99c65c6a-6871-40ba-af79-5bd6851688e4;kg;9.2818312
PDF.m2.yr;low population density;Nitrate;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;cbd70647-6237-462a-9d01-d197a8b08506;kg;4.863124292
PDF.m2.yr;lower stratosphere + upper troposphere;Nitrogen monoxide;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;9d0b18e8-484d-4d28-bca4-2db8023def45;kg;6.554210723
PDF.m2.yr;unspecified air;Ammonia;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;87883a4e-1e3e-4c9d-90c0-f1bea36f8014;kg;23.80909274
PDF.m2.yr;unspecified air;Nitrogen dioxide;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;0b7e10a8-6ca0-4a50-a39b-f2a019cb3610;kg;6.554210723
PDF.m2.yr;low population density;Nitrogen monoxide;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;fe02b51d-7a59-4015-ba12-d32da63ac7d9;kg;6.554210723
PDF.m2.yr;high population density;Ammonia;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;9990b51b-7023-4700-bca0-1a32ef921f74;kg;23.80909274
PDF.m2.yr;lower stratosphere + upper troposphere;Ammonium carbonate;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;73ec59d7-a227-407f-963a-fd9c61b4d172;kg;4.221612242
PDF.m2.yr;unspecified air;Ammonium carbonate;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;c36f35d1-e815-4c85-8686-1a2d21264a2c;kg;4.221612242
PDF.m2.yr;low population density;Nitrite;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;b7ba3697-434d-4f47-91a1-f5b924871d92;kg;6.554210723
PDF.m2.yr;lower stratosphere + upper troposphere;Nitrogen dioxide;Terrestrial acidification, GLO, with uncert;IMPACTWorld+ - Endpoint - only with spatial variability;4490af97-53d7-4849-aa85-34b5a50e516b;kg;6.554210723
