categories;type;exchanges;name;unit;code;database
('natural resource', 'in ground');natural resource;[];Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground;kilogram;c15f6c4d-bf7a-4a7c-91c6-53aad6a630a8;biosphere3
('air',);emission;[];Formaldehyde;kilogram;a861cfae-a310-4e9d-b9eb-5d555c9a684c;biosphere3
('soil', 'agricultural');emission;[];Lead;kilogram;4010918f-7fd0-4925-8fbb-8fd7a44a806c;biosphere3
('water',);emission;[];Formate;kilogram;c1ed95a3-cf8a-4ab4-a687-e98b95301adc;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Sodium hypochlorite;kilogram;aa416529-bb87-40a1-bbbc-3772a7ff7848;biosphere3
('water',);emission;[];Uranium alpha;kilo Becquerel;1cb0b78b-6fd5-4193-8144-d47478920ced;biosphere3
('natural resource', 'in ground');natural resource;[];Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;kilogram;636a8446-9899-43a6-b4bf-213f25d69c88;biosphere3
('air',);emission;[];Methane, dichlorodifluoro-, CFC-12;kilogram;c0e8ec60-a5ae-432e-97a5-cf76b6247a00;biosphere3
('water', 'ground-, long-term');emission;[];Fluoride;kilogram;7ae3e6e8-75e6-4566-b18f-6d848086c4e5;biosphere3
('water',);emission;[];Ethane, 1,1,1-trichloro-, HCFC-140;kilogram;c8e5538f-17a1-4f62-aa64-39a91adb5cd3;biosphere3
('air',);emission;[];Particulates, > 2.5 um, and < 10um;kilogram;b967e1bf-f09b-4c89-8740-ace21db47bba;biosphere3
('air', 'low population density, long-term');emission;[];3-Methyl-1-butanol;kilogram;dc50265c-a1ea-49b3-97a9-fad6f1da0bd7;biosphere3
('air',);emission;[];Ethane, 1,1,2-trichloro-;kilogram;b32061b1-8d24-4663-b10d-0a1c705f2937;biosphere3
('water', 'ocean');emission;[];Iodine-131;kilo Becquerel;897ec6a5-af78-453f-abdf-32233d0a30bf;biosphere3
('water', 'ground-, long-term');emission;[];Hydrogen sulfide;kilogram;554be2fb-9bb9-46c6-a4df-46df0d53cb65;biosphere3
('soil', 'agricultural');emission;[];Cloquintocet-mexyl;kilogram;50eebfd4-1b99-45d6-a149-68a6d4568cb4;biosphere3
('water', 'surface water');emission;[];Fluoboric acid;kilogram;88eaa159-4194-49eb-9905-9b937e644fb8;biosphere3
('soil', 'agricultural');emission;[];Carbofuran;kilogram;3c054a6e-2f9c-4e5e-9231-c61bc85a250a;biosphere3
('water', 'ground-');emission;[];Thiocyanate, ion;kilogram;0bd0f9e3-d311-4673-b431-d079399a7151;biosphere3
('water', 'ocean');emission;[];Triethylene glycol;kilogram;4b22b04e-4cfa-4a8c-b1da-6cd436d03ef6;biosphere3
('water', 'ground-');emission;[];Metolachlor;kilogram;00012c0a-9bff-4787-a7eb-56c3d2f43692;biosphere3
('soil', 'agricultural');emission;[];2,4-D amines;kilogram;0eba8639-12c1-40ce-b1b6-e3394ec94dc0;biosphere3
('air', 'urban air close to ground');emission;[];Ethene, chloro-;kilogram;127ff74d-018b-43b9-8a4e-fb5577d5ee5a;biosphere3
('air',);emission;[];Anthranilic acid;kilogram;9495989d-ca0f-4c30-a301-9aa8ae006676;biosphere3
('air', 'low population density, long-term');emission;[];Methane, trichlorofluoro-, CFC-11;kilogram;3feb6415-ae50-4bb7-b9d1-c18d99f8a87f;biosphere3
