Elementary flow subcategory;Elementary flow name;Elementary flow category;Elementary flow UUID;Per elementary flow unit
unspecified soil;Benzenamine, N-ethyl-3-methyl-;Emission to soil;18a3d219-6bf0-4869-8253-3aa80813867e;kg
unspecified soil;p-Chloroaniline.HCl;Emission to soil;2540333a-ffa5-48c3-9dea-b20aaf28c1f0;kg
agricultural;MCPA dimethylamine salt;Emission to soil;fd7bbf45-f2cf-4a01-8c58-428416c2ed42;kg
unspecified soil;ISOBENZAN;Emission to soil;91eeb338-a8f6-40d4-95ea-96177ab691f3;kg
unspecified soil;FLUCYCLOXURON,(E)-ISOMER;Emission to soil;848861d6-56b1-4681-a216-c3a84fb85c97;kg
unspecified soil;2,5-Diaminotoluene;Emission to soil;2df701e6-cb26-4bf2-b90d-64a4b1321a08;kg
industrial;Benzene;Emission to soil;eba2488b-793f-4ef7-bb4f-f860cdd078e3;kg
unspecified soil;Hydrargaphen;Emission to soil;8a6bf027-9b60-4106-ad69-e3f515c3eb1d;kg
unspecified soil;PRASTERONE;Emission to soil;8e994ff4-9e5a-4b14-9862-0a88e086eaee;kg
industrial;Propane, 1,2,3-trichloro-;Emission to soil;11ec567a-1c61-4515-8261-dd27ca9efddc;kg
industrial;Methyl ethyl ketone;Emission to soil;394d8ea7-fcb1-434c-bf50-9c1f8b24c8f2;kg
industrial;Amidosulfuron;Emission to soil;e36e8a5c-516a-49f1-9a75-b732789c0f31;kg
forestry;sec-Butyl Acetate;Emission to soil;52e439e7-ed0d-4df1-beda-fbac4a770f77;kg
unspecified soil;Diquat;Emission to soil;dc722153-84dd-48ca-87d1-696a83c5cf92;kg
unspecified soil;Cumene hydroperoxide;Emission to soil;16b9df20-514d-4c5d-b66b-9efb644255ca;kg
unspecified soil;Flufenacet;Emission to soil;a8ac1a58-0578-4634-a45f-376fc2a3aa74;kg
agricultural;Dimethachlor;Emission to soil;b3b430f2-1a9e-4db3-8379-85097a24de1f;kg
forestry;Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124;Emission to soil;b31309af-1db5-47d9-a8d3-da2b26201c9c;kg
unspecified soil;Endrocide (Endox) (Coumatetralyl);Emission to soil;4b13db5f-b553-43aa-8989-a396c71a297b;kg
forestry;Benzene, dichloro;Emission to soil;10bb60ee-14bb-4d28-9429-bba97a033466;kg
industrial;Tralomethrin;Emission to soil;6429e2a9-4745-4c8f-94e7-163111a65a83;kg
unspecified soil;toluene-2,4-diisocyante;Emission to soil;54f8549b-3109-4b9c-b0a3-a98abc7f3cc4;kg
unspecified soil;Quinoline;Emission to soil;766c1bb7-3e88-4ab9-b263-ab3e77885768;kg
unspecified soil;1-PROPANETHIOL;Emission to soil;c670ec86-002b-44b1-bec9-7c5cdf00158b;kg
unspecified soil;2-BUTYNE-1,4-DIOL;Emission to soil;f4ecccea-1430-477f-b33d-a3350f51713a;kg
agricultural;Dicofol;Emission to soil;8939217c-4acd-48c2-8a19-7b3afb7e5d3b;kg
industrial;Silicon;Emission to soil;a57cb19d-f436-4c0c-a2ab-097c544bd95f;kg
forestry;Acenaphthene;Emission to soil;54410ee6-6730-436e-891c-b2a0e563dedd;kg
agricultural;Butyrolactone;Emission to soil;dc4dc65b-67d8-49b0-b098-8c028fd27af6;kg
agricultural;Vinclozolin;Emission to soil;7db70809-e30b-4633-992e-2cfe03891907;kg
unspecified soil;Tranid;Emission to soil;a07ce060-bdd6-4fc8-b8cf-d235b9d3320f;kg
forestry;Mevinphos;Emission to soil;0ee90331-4aab-4ba4-93bd-91fd2df55ac7;kg
industrial;diquat dibromide;Emission to soil;cbaad3a1-99e4-430b-a6d0-bd0dfd98ea56;kg
forestry;sodium azide;Emission to soil;24b72c64-9dd0-45dd-9936-3c3e7cc17ec7;kg
agricultural;Ivermectin;Emission to soil;85c42054-3eb9-4d57-81b1-7264e8e31155;kg
unspecified soil;Ethylene diamine;Emission to soil;7cbcd905-e6b0-49d3-a949-845f523ade08;kg
unspecified soil;Hexythiazox;Emission to soil;e25c167d-1a41-4bb3-9f3d-b1f845597e1f;kg
unspecified soil;N,N-DIETHYLANILINE;Emission to soil;91aee9f8-4874-4ea5-a06f-295071e86dba;kg
agricultural;Imazethapyr  ammonium salt;Emission to soil;d759802a-5d0a-45dc-af1a-58d2647f497d;kg
agricultural;Epichlorohydrin;Emission to soil;3b579f49-2340-4a77-8cdf-21110cb18fc2;kg
forestry;1,2-dinitrobenzene;Emission to soil;4530c293-b7ba-42fc-8726-ef08201f1ff5;kg
unspecified soil;CRUFOMATE;Emission to soil;78db016f-eea7-4a5b-986b-bb21159f8ebe;kg
unspecified soil;Anthraquinone;Emission to soil;79cba13f-b646-4c58-af36-cbcdf048adb3;kg
agricultural;Indoxacarb;Emission to soil;faa118a7-50b6-4ea9-94bb-40a55a0e39f2;kg
unspecified soil;N-Methylolacrylamide;Emission to soil;bd88c5f4-012e-4b82-b864-84e9dab93477;kg
unspecified soil;Chromium, ion;Emission to soil;056fb035-70db-4dba-bff0-773a3da55b87;kg
agricultural;Dimethomorph;Emission to soil;23f4021a-5b2d-4e16-ba87-76e871b32392;kg
unspecified soil;Iodosulfuron-methyl-sodium;Emission to soil;2ea41658-e34d-31f6-8c48-b5a26ca29d0a;kg
industrial;Nitrilotriacetic acid;Emission to soil;561aec8c-cc2c-4be6-b072-35c966bb6e7b;kg
unspecified soil;2,4,5-TRICHLOROANILINE;Emission to soil;673477cb-fcd2-452a-9fef-ee60b07913a9;kg
industrial;Sulfprofos;Emission to soil;0b202ba8-dfec-4f9c-ab19-e8f591b723eb;kg
agricultural;Mercury (+II);Emission to soil;2d31e237-e3c6-4f8e-9b6c-8c13090aaecb;kg
unspecified soil;Butyl acetate;Emission to soil;84a5db0d-8e79-43c4-877a-0706bdae38d0;kg
unspecified soil;3-OCTANONE;Emission to soil;2ff8c835-c77e-4199-b49c-846566b69058;kg
industrial;pursuit;Emission to soil;e25e3bf5-256f-4921-aa4d-2835435fe470;kg
unspecified soil;2-METHYLCYCLOHEXANONE;Emission to soil;1757ddb9-2c79-40d8-8b8c-1347a8e8a847;kg
forestry;Anthracene;Emission to soil;1f16cd4d-b282-495e-9140-b2c45bed83c4;kg
unspecified soil;ETHYL BENZOATE;Emission to soil;14638969-bdc2-49a8-80b5-16a4237d1306;kg
unspecified soil;1-Tridecanamine;Emission to soil;4076d188-2c1f-4704-919b-671804a0bb94;kg
industrial;Bisphenol A;Emission to soil;b4e19306-0541-4a56-87cf-53bc3323de05;kg
agricultural;2,4-D;Emission to soil;f681eb3c-854a-4f78-bcfe-76dfbcf9df3c;kg
industrial;Tribenuron-methyl;Emission to soil;9471af0d-264b-41f7-a1bf-a1d5ee7081ce;kg
unspecified soil;5-METHYL-2-HEXANONE;Emission to soil;e06ce3ac-c58c-4b5e-817b-1ae3ce44f7ac;kg
forestry;Chromium VI;Emission to soil;01285299-c683-4e15-b654-201987a7a738;kg
unspecified soil;Fenamiphos;Emission to soil;041b1a9e-b89d-4e67-bd40-c5fb1f36d384;kg
agricultural;Phthalate, dimethyl-;Emission to soil;4272fe9b-914b-4981-bc4e-17a41aaa508a;kg
unspecified soil;1,2-Dibromo-3-chloropropane;Emission to soil;2dc71d27-d3ac-4496-8b6c-38a0d192d0b3;kg
industrial;Acifluorfen;Emission to soil;486ed575-2391-49d4-a1fe-e3aa4f664812;kg
agricultural;Methanol;Emission to soil;a0032cfe-0dea-4a5d-9464-2ff7e9d5d2dd;kg
industrial;1,2-phenylenediamine;Emission to soil;29db2d9c-d5b7-493b-81e5-1ddbcf712704;kg
industrial;M-DINITROBENZENE;Emission to soil;550231d2-62ae-439e-a1c8-f615817812ed;kg
unspecified soil;Diisopropyl Paraoxon;Emission to soil;6027efae-3c3f-46bb-9b60-a0e994b6ddab;kg
forestry;DIETHANOLAMINE;Emission to soil;b37a7fe1-cdfb-498c-af9d-edcb3b34e9f8;kg
forestry;Fenoxycarb;Emission to soil;3e194fd3-bfea-4378-8998-33409cc47a5e;kg
agricultural;Monolinuron;Emission to soil;340eb8e4-5282-4862-8840-35fcc50e3505;kg
forestry;Bromuconazole;Emission to soil;9fb7017e-8b77-4b25-a40e-a20e0e7cc215;kg
unspecified soil;Methyl-Isopropylketone;Emission to soil;fa7e2c6c-3416-49a7-850e-4347371281d8;kg
unspecified soil;Benzenamine, 2-chloro-4-methyl-;Emission to soil;e3fa65ef-277a-44fd-b31d-184fffe5e1cf;kg
industrial;Methomyl;Emission to soil;7153967b-1c51-47e7-a514-0cd6c90d97e8;kg
forestry;Piperonyl butoxide;Emission to soil;ed654a84-913c-420c-b1ed-d11cae153a25;kg
agricultural;Methyl formate;Emission to soil;69f918ae-fe50-439f-8707-1ab8d2a398ee;kg
industrial;Maneb;Emission to soil;cda03295-cb60-48e1-8aea-26e4f982e2cf;kg
